"officename,pincode,Taluk,Districtname,statename","officename,pincode,Taluk,Districtname,statename",Not Found,Not Found
"Chaprala B.O,504309,Adilabad,Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Chata B.O,504103,Kubeer,Adilabad,TELANGANA","Kobir, Telangana 504103, India",19.2580941,77.9438811
"Chedwai B.O,504296,Sirpur (t),Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Chichdhari Khanapur B.O,504346,Utnoor,Adilabad,TELANGANA","Utnoor, Telangana 504311, India",19.3718044,78.7787889
"Chichondi B.O,504103,Mudhole,Adilabad,TELANGANA","Mudhole, Maharashtra 504102, India",18.9224768,77.8638835
"Chincholi (B) S.O,504110,Nirmal,Adilabad,TELANGANA","Nirmal Rd, Chincholi Buzurg, Telangana 504110, India",19.152572,78.3419502
"Chinchughat B.O,504002,Adilabad,Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Chinnoor S.O,504201,Chennoor,Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Chintaguda B.O,504296,Sirpur (t),Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Chintaguda B.O,504205,Luxettipet,Adilabad,TELANGANA","Luxettipet, Telangana, India",18.8754757,79.2028155
"Chintakunta B.O,504299,Sirpur (t),Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Chintalamanepalli B.O,504299,Sirpur (t),Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Chintalbori B.O,504304,Boath,Adilabad,TELANGANA","Boath Buzurg, Telangana 504304, India",19.3399205,78.3216329
"Chintalchanda B.O,504310,Nirmal,Adilabad,TELANGANA","Nirmal, Telangana 504106, India",19.0964117,78.342975
"Chirrakunta S.O,504294,Asifabad,Adilabad,TELANGANA","Asifabad, Telangana 504293, India",19.361899,79.2930312
"Chityal B.O,504306,Nirmal,Adilabad,TELANGANA","Chityal Koutla Rd, Chityal, Telangana, India",19.0709602,78.3116841
"Chityal B.O,504202,Kaddam (Peddur),Adilabad,TELANGANA","Peddur, Telangana 504202, India",19.0981815,78.773831
"Chondi B.O,504103,Mudhole,Adilabad,TELANGANA","Mudhole, Maharashtra 504102, India",18.9224768,77.8638835
"Chorpalli B.O,504313,Utnoor,Adilabad,TELANGANA","Utnoor, Telangana 504311, India",19.3718044,78.7787889
"Coal Chemical Complex S.O,504302,Mancherial,Adilabad,TELANGANA","Telangana 504302, India",18.8534075,79.4816378
"Cotton Market B.O,504002,Adilabad,Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Dabba B.O,504299,Sirpur (t),Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Dandepalli S.O,504206,Luxettipet,Adilabad,TELANGANA","Luxettipet, Telangana, India",18.8754757,79.2028155
"Dantanpalli B.O,504311,Utnoor,Adilabad,TELANGANA","Utnur Rd, Dhanthanpalli, Telangana 504311, India",19.326542,78.8180411
"Dasnapur B.O,504346,Utnoor,Adilabad,TELANGANA","Utnoor, Telangana 504311, India",19.3718044,78.7787889
"Dasnapur Colony  D.S.O,504002,Adilabad,Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Dasnapur Colony S.O,504001,Adilabad,Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Dasturabad B.O,504202,Khanapur,Adilabad,TELANGANA","Khanapur, Telangana 504203, India",19.0413819,78.6483843
"Deepaiguda B.O,504309,Adilabad,Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Dehgaon B.O,504304,Boath,Adilabad,TELANGANA","Boath Buzurg, Telangana 504304, India",19.3399205,78.3216329
"Dehgaon B.O,504273,Asifabad,Adilabad,TELANGANA","Asifabad, Telangana 504293, India",19.361899,79.2930312
"Dehgaon B.O,504102,Mudhole,Adilabad,TELANGANA","Mudhole, Maharashtra 504102, India",18.9224768,77.8638835
"Devaiguda B.O,504294,Asifabad,Adilabad,TELANGANA","Asifabad, Telangana 504293, India",19.361899,79.2930312
"Devapur B.O,504293,Asifabad,Adilabad,TELANGANA","Asifabad, Telangana 504293, India",19.361899,79.2930312
"Devapur B.O,504308,Adilabad,Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Devapur Cement Works S.O,504218,Luxettipet,Adilabad,TELANGANA","Luxettipet, Telangana, India",18.8754757,79.2028155
"Dewalwada B.O,504201,Chennur,Adilabad,TELANGANA","Chinnur, Telangana 504201, India",18.8540596,79.7910165
"Dhaba B.O,504311,Utnoor,Adilabad,TELANGANA","Utnoor, Telangana 504311, India",19.3718044,78.7787889
"Dhaboli B.O,504313,Utnoor,Adilabad,TELANGANA","Utnoor, Telangana 504311, India",19.3718044,78.7787889
"Dhani B.O,504110,Nirmal,Adilabad,TELANGANA","Nirmal, Telangana 504106, India",19.0964117,78.342975
"Dhannoor B.O,504304,Boath,Adilabad,TELANGANA","Boath Buzurg, Telangana 504304, India",19.3399205,78.3216329
"Dhanora(B) B.O,504346,Utnoor,Adilabad,TELANGANA","Utnoor, Telangana 504311, India",19.3718044,78.7787889
"Dharmaram B.O,504205,Luxettipet,Adilabad,TELANGANA","Luxettipet, Telangana, India",18.8754757,79.2028155
"Dharmaraopet B.O,504231,Luxettipet,Adilabad,TELANGANA","Luxettipet, Telangana, India",18.8754757,79.2028155
"Dhorpalli B.O,504299,Sirpur (t),Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Dilawarpur B.O,504203,NA,Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Dilawarpur S.O,504306,Nirmal,Adilabad,TELANGANA","Nirmal, Telangana 504106, India",19.0964117,78.342975
"Dimda B.O,504299,Sirpur (t),Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Dimmadurthy B.O,504310,Nirmal,Adilabad,TELANGANA","Nirmal - Mancherial Rd, Telangana, India",19.075182,78.5315685
"Doderna B.O,504103,Mudhole,Adilabad,TELANGANA","Mudhole, Maharashtra 504102, India",18.9224768,77.8638835
"Donabanda S.O,504207,Luxettipet,Adilabad,TELANGANA","Luxettipet, Telangana, India",18.8754757,79.2028155
"Dowdepally B.O,504215,Luxettipet,Adilabad,TELANGANA","Luxettipet, Telangana, India",18.8754757,79.2028155
"Dugnepally B.O,504201,Chennur,Adilabad,TELANGANA","Chinnur, Telangana 504201, India",18.8540596,79.7910165
"Dwaraka B.O,504206,Luxettipet,Adilabad,TELANGANA","Luxettipet, Telangana, India",18.8754757,79.2028155
"Dwarakapur B.O,504272,Asifabad,Adilabad,TELANGANA","Asifabad, Telangana 504293, India",19.361899,79.2930312
"Easgaon - V B.O,504296,Kagaznagar,Adilabad,TELANGANA","Sirpur-Kaghaznagar, Telangana 504296, India",19.3465676,79.4899919
"Easgaon Camp B.O,504296,Sirpur (t),Adilabad,TELANGANA","Easgaon Camp, Easgaon, Telangana 504296, India",19.356552,79.5280264
"Echoda S.O,504307,Boath,Adilabad,TELANGANA","Boath Buzurg, Telangana 504304, India",19.3399205,78.3216329
"Elegaon B.O,504102,Mudhole,Adilabad,TELANGANA","Mudhole, Maharashtra 504102, India",18.9224768,77.8638835
"Elvi B.O,504102,Mudhole,Adilabad,TELANGANA","Mudhole, Maharashtra 504102, India",18.9224768,77.8638835
"Gadapur B.O,504209,Luxettipet,Adilabad,TELANGANA","Luxettipet, Telangana, India",18.8754757,79.2028155
"Gadchanda B.O,504104,Nirmal,Adilabad,TELANGANA","Nirmal, Telangana 504106, India",19.0964117,78.342975
"Gadiguda B.O,504311,Utnoor,Adilabad,TELANGANA","Utnoor, Telangana 504311, India",19.3718044,78.7787889
"Gandhi Chowk S.O (Adilabad),504001,Adilabad,Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Gangapur B.O,504292,Asifabad,Adilabad,TELANGANA","Asifabad, Telangana 504293, India",19.361899,79.2930312
"Ghanpur B.O,504304,Boath,Adilabad,TELANGANA","Boath Buzurg, Telangana 504304, India",19.3399205,78.3216329
"Ghanpur B.O,504311,Utnoor,Adilabad,TELANGANA","Utnur Rd, Telangana, India",19.3412742,78.8105264
"Ghotkuri B.O,504309,Adilabad,Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Ginnedhari B.O,504297,Asifabad,Adilabad,TELANGANA","Adilabad-Asifabad Rd, Telangana, India",19.403572,78.7608756
"Ginnera B.O,504346,Utnoor,Adilabad,TELANGANA","Utnoor, Telangana 504311, India",19.3718044,78.7787889
"Girjam B.O,504307,Boath,Adilabad,TELANGANA","Boath Buzurg, Telangana 504304, India",19.3399205,78.3216329
"Girnoor B.O,504307,Boath,Adilabad,TELANGANA","Boath Buzurg, Telangana 504304, India",19.3399205,78.3216329
"Girvelli B.O,504219,Luxettipet,Adilabad,TELANGANA","Luxettipet, Telangana, India",18.8754757,79.2028155
"Gokonda B.O,504304,Boath,Adilabad,TELANGANA","Boath Buzurg, Telangana 504304, India",19.3399205,78.3216329
"Gollakota B.O,504207,Luxettipet,Adilabad,TELANGANA","Luxettipet, Telangana, India",18.8754757,79.2028155
"Golleti B.O,504292,Asifabad,Adilabad,TELANGANA","Asifabad Road Railway Station, Rebbena, Telangana 504292, India",19.2571392,79.4166117
"Gonedhanora B.O,504312,Tamsi,Adilabad,TELANGANA","Tamsi, Telangana 504312, India",19.6877718,78.4226112
"Gopalpet B.O,504110,Nirmal,Adilabad,TELANGANA","Nirmal Rd, Chincholi Buzurg, Telangana 504110, India",19.1592376,78.3436936
"Gourapur B.O,504346,Utnoor,Adilabad,TELANGANA","Utnoor, Telangana 504311, India",19.3718044,78.7787889
"Gowliguda B.O,504323,Neradigonda,Adilabad,TELANGANA","Neredgonda, Telangana 504323, India",19.2999254,78.4055514
"Goyagaon B.O,504293,Asifabad,Adilabad,TELANGANA","Adilabad-Asifabad Rd, Goyagaon, Telangana 504293, India",19.4231305,79.1799486
"Grain Market S.O (Adilabad),504208,Mancherial,Adilabad,TELANGANA","Telangana 504208, India",18.874312,79.4366324
"Guda B.O,504309,Adilabad,Adilabad,TELANGANA","Adilabad Rd, Kamgarpur, Maharashtra 504309, India",19.7638624,78.7762105
"Gudamamda B.O,504311,Utnoor,Adilabad,TELANGANA","Utnoor, Telangana 504311, India",19.3718044,78.7787889
"Gudem B.O,504215,Luxettipet,Adilabad,TELANGANA","Luxettipet, Telangana, India",18.8754757,79.2028155
"Gudem B.O,504299,Sirpur (t),Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Gudihatnoor S.O,504308,Boath,Adilabad,TELANGANA","Boath Buzurg, Telangana 504304, India",19.3399205,78.3216329
"Gudipet B.O,504273,Asifabad,Adilabad,TELANGANA","Asifabad, Telangana 504293, India",19.361899,79.2930312
"Gudlabori B.O,504299,Sirpur (t),Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Gulmadugu B.O,504109,Nirmal,Adilabad,TELANGANA","Nirmal, Telangana 504106, India",19.0964117,78.342975
"Gumma S.O (Adilabad),504309,Adilabad,Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Gundaipet B.O,504299,Sirpur (t),Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Gundampalli B.O,504306,Nirmal,Adilabad,TELANGANA","Nirmal, Telangana 504106, India",19.0964117,78.342975
"Gundi B.O,504293,Asifabad,Adilabad,TELANGANA","Asifabad, Telangana 504293, India",19.361899,79.2930312
"Gunjala B.O,504311,Utnoor,Adilabad,TELANGANA","Utnoor, Telangana 504311, India",19.3718044,78.7787889
"Gurjal B.O,504251,Luxettipet,Adilabad,TELANGANA","Luxettipet, Telangana, India",18.8754757,79.2028155
"Gurjamannur B.O,504308,Boath,Adilabad,TELANGANA","Boath Buzurg, Telangana 504304, India",19.3399205,78.3216329
"Gurudpet B.O,504299,Sirpur (t),Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Harkapur B.O,504346,Utnoor,Adilabad,TELANGANA","Utnoor, Telangana 504311, India",19.3718044,78.7787889
